# ABI_EXPORT_STATUS.txt — the per-symbol status taxonomy of the exported
# lean_* C surface (plan §6.5; bead franken_lean-83r slice 1, completing the
# fln-lld census join).
#
# One `row` per Linkage::Export symbol of the generated census
# (fln-rt::abi::FUNCTION_CENSUS, extracted from the pinned lean.h): there is
# no unclassified symbol. `support` rows cover non-census symbols the pin's
# LEAN_MIMALLOC lean.h inlines link-demand from generated C (mimalloc.h twins).
# tools/structure-guard (FLN-STRUCT-026) enforces the join in BOTH directions:
#   * every census Export symbol has exactly one row; stale/unknown rows fail;
#   * every #[unsafe(export_name)] site in fln-unsafe-abi names a row with an
#     implemented status; an implemented row without a site is stale; an
#     Unsupported row with a site is a lie; export attrs anywhere else fail.
#
# Row grammar (five '|'-separated fields, all non-empty):
#   row <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
#   support <symbol> | <status> | <site> | <evidence> | <notes>
#   extern <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
# `extern` rows are runtime symbols OUTSIDE lean.h that generated C declares
# itself (the contracts/extern_census.tsv universe, surfaced by the stage0
# demand audit); they join export sites exactly like `row`s.
# status ∈ NativeSafe | RawPlatform | CompatWrapper | ReferenceSemanticAdapter
#          | Unsupported   (§6.5; Unsupported rows carry the owning bead)

schema fln-abi-export-status/1

row lean_alloc_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | membrane big path (object.cpp:355-376); OOM = INTERNAL PANIC like the pin
row lean_alloc_small | RawPlatform | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | raw prefixed small heap; slot-idx law asserted (lean.h:394-400)
row lean_apply_1 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | apply membrane: exact arm structure of apply.cpp:101-158 via the generic core
row lean_apply_10 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_11 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_12 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_13 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_14 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_15 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_16 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_2 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | incl. over-application curry+reapply (apply.cpp:160-215)
row lean_apply_3 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | as lean_apply_2
row lean_apply_4 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | as lean_apply_2
row lean_apply_5 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_6 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_7 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_8 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_9 | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_m | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_apply_n | Unsupported | franken_lean-7xe | census (fln-rt::abi) | closure application needs the Golem apply machinery
row lean_array_get_panic | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic_fn with the pin's exact message (object.cpp:499-501)
row lean_array_mk | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | native List walk (upstream delegates to Lean-compiled lean_list_to_array); same ownership balance, gauntlet-differenced
row lean_array_push | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | exclusivity fast path + exact (cap+1)*2 growth law (object.cpp:2674-2715)
row lean_array_set_panic | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | dec(v) then panic_fn with the pin's exact message (object.cpp:503-506)
row lean_array_to_list | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | native cons-chain build (upstream delegates to Lean-compiled impl); gauntlet-differenced
row lean_big_int64_to_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_big_int_to_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_big_int_to_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_big_size_t_to_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_big_uint64_to_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | box iff <= MAX_SMALL_NAT (object.cpp:1371-1377)
row lean_big_usize_to_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | box iff <= MAX_SMALL_NAT (object.cpp:1363-1369)
row lean_byte_array_data | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | sarray to boxed-UInt8 array (object.cpp:2562-2573)
row lean_byte_array_hash | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_byte_array_mk | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | boxed-UInt8 array to sarray (object.cpp:2549-2560)
row lean_byte_array_push | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | ensure-capacity x2 growth + ensure-exclusive + append (object.cpp:2526-2582)
