fln-g04-syntax-manifest/1
id	family	origin	origin_rev	origin_path	origin_lines	imports	options	category	grammar_phase	grammar_epoch	grammar_root	observation	disposition	comparison	source_hex
c0_pratt_trivia	C0	frankenlean-owned	g04-owned/1	crates/fln-conformance/fixtures/g04_reference_fixture.lean	61	Lean	default	term	builtin	4	9ddcbe270b260ea124036b327ca7493183a985d59e4e71eeaee41520986d07e6	parse	accepted	tokens,tree,sourceinfo,trivia,positions,recovery	31202b202f2d206e6573746564202f2d20626c6f636b202d2f20747269766961202d2f2032202a2033
c0_unicode_positions	C0	frankenlean-owned	g04-owned/1	crates/fln-conformance/fixtures/g04_reference_fixture.lean	62	Lean	default	term	builtin	4	9ddcbe270b260ea124036b327ca7493183a985d59e4e71eeaee41520986d07e6	parse	accepted	tokens,tree,sourceinfo,trivia,positions,recovery	ceb1202b20ceb2202d2d20747261696c696e670a
c0_missing_rhs	C0	frankenlean-owned	g04-owned/1	crates/fln-conformance/fixtures/g04_reference_fixture.lean	63	Lean	default	term	builtin	4	9ddcbe270b260ea124036b327ca7493183a985d59e4e71eeaee41520986d07e6	parse	parse-error	tokens,tree,sourceinfo,diagnostic,recovery	31202b
c1_call_before_registration	C1	leanprover/lean4	8c9756b28d64dab099da31a4c09229a9e6a2ef35	tests/elab/macro2.lean	1-14	Lean	default	term	pre-call	4	9ddcbe270b260ea124036b327ca7493183a985d59e4e71eeaee41520986d07e6	parse	accepted	tokens,tree,sourceinfo,grammar_epoch,positions,trace_elab_step	63616c6c204e61742e616464202831202b20322c203329
c1_call_parse	C1	leanprover/lean4	8c9756b28d64dab099da31a4c09229a9e6a2ef35	tests/elab/macro2.lean	1-14	Lean	default	term	post-call	5	d8db70548d142a8a7c2758c66358228c7bf88073d19ce02ee6857642e1cdeaf2	parse	accepted	tokens,tree,sourceinfo,grammar_epoch,quotation,splice,positions,trace_elab_step	63616c6c204e61742e616464202831202b20322c203329
c1_call_expand	C1	leanprover/lean4	8c9756b28d64dab099da31a4c09229a9e6a2ef35	tests/elab/macro2.lean	1-14	Lean	default	term	post-call	5	d8db70548d142a8a7c2758c66358228c7bf88073d19ce02ee6857642e1cdeaf2	expand	accepted	tokens,tree,sourceinfo,grammar_epoch,expansion,hygiene,quotation,splice,generated_ids,trace_elab_step	63616c6c204e61742e616464202831202b20322c203329
c1_call_malformed	C1	derived-negative	8c9756b28d64dab099da31a4c09229a9e6a2ef35	tests/elab/macro2.lean	missing-final-term	Lean	default	term	post-call	5	d8db70548d142a8a7c2758c66358228c7bf88073d19ce02ee6857642e1cdeaf2	parse	parse-error	tokens,tree,sourceinfo,grammar_epoch,diagnostic,recovery,trace_elab_step	63616c6c204e61742e616464202831202b20322c29
c2_matrix_parse	C2	leanprover-community/mathlib4	81a5d257c8e410db227a6665ed08f64fea08e997	Mathlib/LinearAlgebra/Matrix/Notation.lean	91-108	Lean	default	term	post-matrix	6	efde8e45074b3634a4ca4d5105165e0bb50ab1cdfa7fc52845b128e487b4c76b	parse	accepted	tokens,tree,sourceinfo,grammar_epoch,quotation,antiquotation,splice,positions,trace_elab_step	21215b312c20323b20332c20345d
c2_matrix_expand	C2	leanprover-community/mathlib4	81a5d257c8e410db227a6665ed08f64fea08e997	Mathlib/LinearAlgebra/Matrix/Notation.lean	91-108	Lean	default	term	post-matrix	6	efde8e45074b3634a4ca4d5105165e0bb50ab1cdfa7fc52845b128e487b4c76b	expand	accepted	tokens,tree,sourceinfo,grammar_epoch,expansion,hygiene,quotation,antiquotation,splice,generated_ids,trace_elab_step	21215b312c20323b20332c20345d
c2_matrix_uneven	C2	derived-negative	81a5d257c8e410db227a6665ed08f64fea08e997	Mathlib/LinearAlgebra/Matrix/Notation.lean	uneven-row	Lean	default	term	post-matrix	6	efde8e45074b3634a4ca4d5105165e0bb50ab1cdfa7fc52845b128e487b4c76b	expand	expansion-error	tokens,tree,sourceinfo,grammar_epoch,diagnostic,recovery,quotation,antiquotation,splice,trace_elab_step	21215b312c20323b20335d
