schema fln-imported-tag-queries/1
oracle	4.32.0	8c9756b28d64dab099da31a4c09229a9e6a2ef35
module	Init.Prelude	private
binding	unbox	Lean.IR.UnboxResult.unboxAttr	a/s4c65616e/s4952/s556e626f78526573756c74/s756e626f7841747472
query	unbox	a/s457863657074	true
query	unbox	a/s50726f64	true
query	unbox	a/s4f7074696f6e	true
query	unbox	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	tagged_return	Lean.Compiler.LCNF.taggedReturnAttr	a/s5f70726976617465/s4c65616e/s436f6d70696c6572/s4c434e46/s546f496d70757265/n0/s4c65616e/s436f6d70696c6572/s4c434e46/s74616767656452657475726e41747472
query	tagged_return	a/s537472696e67/s757466384279746553697a65	true
query	tagged_return	a/s4172726179/s73697a65	true
query	tagged_return	a/s427974654172726179/s73697a65	true
query	tagged_return	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	never_extract	Lean.neverExtractAttr	a/s4c65616e/s6e657665724578747261637441747472
query	never_extract	a/s736f7272794178	true
query	never_extract	a/s70616e6963436f7265	true
query	never_extract	a/s70616e6963	true
query	never_extract	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	nospecialize	Lean.Compiler.nospecializeAttr	a/s4c65616e/s436f6d70696c6572/s6e6f7370656369616c697a6541747472
query	nospecialize	a/s446563696461626c65/s646563696465	true
query	nospecialize	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	weak_specialize	Lean.Compiler.weakSpecializeAttr	a/s4c65616e/s436f6d70696c6572/s7765616b5370656369616c697a6541747472
query	weak_specialize	a/s496e68616269746564	true
query	weak_specialize	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	defeq	Lean.defeqAttr	a/s4c65616e/s646566657141747472
query	defeq	a/s504c696674/s646f776e5f7570	true
query	defeq	a/s554c696674/s646f776e5f7570	true
query	defeq	a/s50554c696674/s646f776e5f7570	true
query	defeq	a/s504c696674/s75705f646f776e	true
query	defeq	a/s50554c696674/s75705f646f776e	true
query	defeq	a/s4e6174/s63746f724964785f73756363	true
query	defeq	a/s4e6174/s63746f724964785f7a65726f	true
query	defeq	a/s554c696674/s75705f646f776e	true
query	defeq	a/s69645f6571	true
query	defeq	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	backward_defeq	Lean.backwardDefeqAttr	a/s4c65616e/s6261636b77617264446566657141747472
query	backward_defeq	a/s504c696674/s646f776e5f7570	true
query	backward_defeq	a/s554c696674/s646f776e5f7570	true
query	backward_defeq	a/s50554c696674/s646f776e5f7570	true
query	backward_defeq	a/s504c696674/s75705f646f776e	true
query	backward_defeq	a/s50554c696674/s75705f646f776e	true
query	backward_defeq	a/s4e6174/s63746f724964785f73756363	true
query	backward_defeq	a/s4e6174/s63746f724964785f7a65726f	true
query	backward_defeq	a/s554c696674/s75705f646f776e	true
query	backward_defeq	a/s69645f6571	true
query	backward_defeq	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	elab_as_elim	Lean.Elab.Term.elabAsElim	a/s4c65616e/s456c6162/s5465726d/s656c61624173456c696d
query	elab_as_elim	a/s4c65616e/s53796e746178/s5072657265736f6c766564/s6e616d657370616365/s656c696d	true
query	elab_as_elim	a/s4c65616e/s53796e746178/s6964656e74/s656c696d	true
query	elab_as_elim	a/s457863657074/s6f6b/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s756e617279/s656c696d	true
query	elab_as_elim	a/s4c65616e/s53796e746178/s61746f6d/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s756e69636f646553796d626f6c/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s7365704279/s656c696d	true
query	elab_as_elim	a/s4c65616e/s4e616d65/s6e756d/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s6e6f6e526573657276656453796d626f6c/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s73796d626f6c/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s736570427931/s656c696d	true
query	elab_as_elim	a/s4c65616e/s53796e746178/s5072657265736f6c766564/s6465636c/s656c696d	true
query	elab_as_elim	a/s426f6f6c/s66616c7365/s656c696d	true
query	elab_as_elim	a/s4c65616e/s4e616d65/s616e6f6e796d6f7573/s656c696d	true
query	elab_as_elim	a/s4c65616e/s4d6163726f/s457863657074696f6e/s756e737570706f7274656453796e746178/s656c696d	true
query	elab_as_elim	a/s4c65616e/s536f75726365496e666f/s73796e746865746963/s656c696d	true
query	elab_as_elim	a/s4c697374/s636f6e73/s656c696d	true
query	elab_as_elim	a/s4553746174654d/s526573756c74/s6f6b/s656c696d	true
query	elab_as_elim	a/s4c65616e/s536f75726365496e666f/s6f726967696e616c/s656c696d	true
query	elab_as_elim	a/s4c65616e/s4d6163726f/s457863657074696f6e/s6572726f72/s656c696d	true
query	elab_as_elim	a/s4c697374/s6e696c/s656c696d	true
query	elab_as_elim	a/s4c65616e/s4e616d65/s737472/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s62696e617279/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s6e6f6465/s656c696d	true
query	elab_as_elim	a/s4c65616e/s536f75726365496e666f/s6e6f6e65/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s6e6f646557697468416e746971756f74/s656c696d	true
query	elab_as_elim	a/s457863657074/s6572726f72/s656c696d	true
query	elab_as_elim	a/s4f7074696f6e/s6e6f6e65/s656c696d	true
query	elab_as_elim	a/s4e6174/s73756363/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s706172736572/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s747261696c696e674e6f6465/s656c696d	true
query	elab_as_elim	a/s4553746174654d/s526573756c74/s6572726f72/s656c696d	true
query	elab_as_elim	a/s4f7074696f6e/s736f6d65/s656c696d	true
query	elab_as_elim	a/s4e6174/s7a65726f/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s636174/s656c696d	true
query	elab_as_elim	a/s4c65616e/s53796e746178/s6e6f6465/s656c696d	true
query	elab_as_elim	a/s4c65616e/s53796e746178/s6d697373696e67/s656c696d	true
query	elab_as_elim	a/s4c65616e/s5061727365724465736372/s636f6e7374/s656c696d	true
query	elab_as_elim	a/s426f6f6c/s74727565/s656c696d	true
query	elab_as_elim	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
